QUARTER,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DelayedDepartureSFO,ScheduledDepartureSFO,DelayedArrivalPHL,ScheduledArrivalPHL
1,1,3,1,28.0,26.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,6,1,90.0,12.0,5.0,0,1.0,30.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
1,1,4,1,32.0,17.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,6,1,24.0,16.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,1,-1.0,29.0,4.0,0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,1,0.0,16.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,-9.0,19.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,4,1,17.0,24.0,3.0,0,1.0,8.0,0.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0
1,1,5,1,2.0,23.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,4,1,1.0,31.0,7.0,0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,1,-5.0,18.0,8.0,0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,6,1,-10.0,18.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,1,5.0,17.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,3.0,37.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,0,34.0,22.0,4.0,1,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0,12.0,24.0,4.0,1,1.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
