QUARTER,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DelayedDepartureSFO,ScheduledDepartureSFO,DelayedArrivalPHL,ScheduledArrivalPHL
2,4,2,13,25.0,27.0,12.0,21,1.0,0.0,0.0,39.0,0.0,0.0,2.0,12.0,13.0,46.0
2,5,5,6,-6.0,20.0,4.0,14,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,4,6,-3.0,34.0,8.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,7,13,65.0,22.0,11.0,22,1.0,9.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
3,7,1,11,103.0,28.0,4.0,19,1.0,0.0,0.0,0.0,57.0,46.0,0.0,0.0,0.0,0.0
3,9,5,22,-4.0,28.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,2.0,16.0
2,6,4,0,-6.0,24.0,12.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,8,14.0,58.0,2.0,17,1.0,14.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,10.0
2,6,4,22,45.0,24.0,11.0,7,1.0,12.0,0.0,0.0,0.0,25.0,10.0,28.0,11.0,38.0
3,7,7,14,5.0,44.0,6.0,22,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.0,2.0,13.0
4,12,4,6,-2.0,27.0,6.0,14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,16.0
4,12,5,22,17.0,17.0,14.0,6,1.0,17.0,0.0,8.0,0.0,0.0,1.0,1.0,2.0,9.0
3,8,7,15,24.0,16.0,11.0,23,1.0,1.0,0.0,0.0,0.0,14.0,15.0,38.0,13.0,12.0
1,3,2,22,3.0,26.0,7.0,7,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,5,22,-4.0,32.0,6.0,7,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,8,-3.0,39.0,7.0,16,1.0,0.0,0.0,34.0,0.0,0.0,1.0,48.0,1.0,5.0
1,3,6,22,121.0,16.0,13.0,7,1.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,2,11,4.0,16.0,6.0,19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,10.0,45.0
2,5,1,11,19.0,23.0,9.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,4,11,5.0,27.0,6.0,19,1.0,5.0,0.0,11.0,0.0,0.0,0.0,1.0,2.0,10.0
2,4,6,22,-1.0,32.0,8.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,3,6,3.0,33.0,3.0,14,0.0,0.0,0.0,0.0,0.0,0.0,5.0,48.0,2.0,5.0
4,12,4,8,23.0,29.0,6.0,17,1.0,20.0,0.0,0.0,0.0,0.0,13.0,32.0,7.0,21.0
3,7,3,22,12.0,37.0,5.0,7,1.0,12.0,0.0,24.0,0.0,0.0,4.0,38.0,2.0,12.0
4,12,4,8,54.0,47.0,5.0,16,1.0,0.0,0.0,56.0,0.0,29.0,0.0,0.0,0.0,0.0
3,8,6,11,13.0,23.0,6.0,19,1.0,0.0,0.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0
3,8,3,11,11.0,27.0,6.0,19,0.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,0.0,5.0
3,9,5,6,-9.0,18.0,8.0,14,0.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,0.0,5.0
4,10,1,14,62.0,24.0,3.0,23,1.0,3.0,0.0,0.0,0.0,22.0,0.0,1.0,3.0,10.0
3,7,3,11,-2.0,36.0,3.0,19,1.0,0.0,0.0,22.0,0.0,0.0,10.0,46.0,1.0,5.0
4,11,4,11,78.0,16.0,7.0,19,1.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
3,9,5,8,-1.0,31.0,6.0,16,0.0,0.0,0.0,0.0,0.0,0.0,13.0,47.0,3.0,5.0
1,1,1,10,-6.0,26.0,6.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,1,6,-4.0,33.0,17.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
4,12,4,8,-5.0,35.0,4.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,11,-4.0,26.0,2.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
3,7,7,0,-7.0,35.0,4.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,4,22,1.0,17.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
2,4,3,8,12.0,21.0,5.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
4,10,7,8,73.0,18.0,9.0,16,1.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,5,13,56.0,42.0,4.0,21,1.0,0.0,0.0,5.0,0.0,52.0,0.0,0.0,0.0,0.0
2,5,1,13,166.0,20.0,7.0,22,1.0,0.0,0.0,6.0,0.0,137.0,0.0,0.0,0.0,0.0
2,5,1,22,59.0,16.0,9.0,7,1.0,10.0,0.0,0.0,0.0,36.0,13.0,32.0,7.0,21.0
4,11,1,22,-6.0,37.0,34.0,7,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,3,11,-6.0,26.0,6.0,19,1.0,0.0,0.0,16.0,0.0,0.0,10.0,46.0,1.0,5.0
4,11,5,8,11.0,33.0,6.0,16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,16.0
4,11,6,8,14.0,27.0,10.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,15.0
3,8,1,11,90.0,16.0,17.0,20,1.0,56.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
3,7,2,11,20.0,25.0,7.0,19,1.0,20.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,5,11,-7.0,21.0,12.0,19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0
2,6,6,22,28.0,15.0,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,6,22,-16.0,18.0,47.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,5,11,99.0,24.0,7.0,19,1.0,15.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0
2,6,1,11,5.0,53.0,4.0,19,1.0,5.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,10.0
